VK ID;ПОЛ;ДАТА РОЖДЕНИЯ;ССЫЛКА НА ПАРТНЁРА;
VK ID;ПОЛ;ДАТА РОЖДЕНИЯ;ССЫЛКА НА ПАРТНЁРА;
347797323;М;30.1.2005;;
387823114;М;8.10.2002;;
477806246;М;21.5.2002;;
527795659;М;7.7.2005;;
227782424;М;31.3.2004;;
407825582;М;1.11.2004;;
427813227;М;23.5.2003;;
537803773;М;27.11.2004;;
537803805;М;27.10.2003;;
547827316;М;2.2.2003;;
577811274;М;9.1.2006;;
367838136;М;24.3.2005;https://vk.com/id456207487;
557806367;М;24.12.2004;;
167756309;М;16.3.2002;https://vk.com/id416851302;
237779384;М;9.1.2003;https://vk.com/id376706608;
397834093;М;24.11.2005;;
457843100;М;25.4.2003;;
457843190;М;21.6.2003;;
457843506;М;29.4.2003;;
517810663;М;27.11.2003;;
557813770;М;26.7.2004;https://vk.com/id549447563;
167754340;М;16.7.2003;;
447809314;М;12.3.2005;https://vk.com/id436853121;
467475781;М;4.4.2005;;
507802897;М;15.9.2004;;
537802107;М;12.6.2003;;
257784271;М;9.3.2003;https://vk.com/id370142688;
437816137;М;24.4.2003;;
477810252;М;3.7.2003;https://vk.com/id374132276;
517804609;М;21.6.2004;;
577806134;М;9.1.2006;;
447812174;М;17.9.2003;;
467478900;М;20.2.2003;;
547829444;М;14.3.2005;;
567798452;М;15.9.2003;;
247788123;М;28.11.2003;;
307800269;М;10.2.2004;;
317795246;М;28.6.2003;https://vk.com/id242740391;
477821048;М;19.9.2005;https://vk.com/id292379437;
547833374;М;3.2.2004;;
387819135;М;7.9.2004;;
447797880;М;4.8.2003;;
485014591;М;15.6.2004;;
507790752;М;5.6.2004;;
537790569;М;7.9.2002;https://vk.com/id391270378;
427805449;М;9.5.2004;;
496968520;М;7.6.2005;;
517793157;М;24.11.2004;;
567780571;М;1.3.2003;;
557794259;М;15.8.2005;;
577793891;М;25.10.2005;;
467457887;М;25.12.2004;;
457822869;М;8.5.2004;;
485007246;М;1.4.2003;;
496964803;М;19.12.2004;;
507783240;М;26.12.2005;;
527784585;М;12.4.2005;;
187760232;М;23.12.2002;;
407818299;М;30.6.2003;;
527789176;М;18.10.2002;;
527789480;М;20.6.2002;;
577796503;М;18.2.2006;;
347792533;М;22.1.2004;https://vk.com/id379468617;
377810602;М;7.7.2005;;
496970721;М;1.3.2003;;
507789389;М;19.11.2003;;
577801213;М;9.1.2003;;
187764854;М;7.8.2003;https://vk.com/id233989320;
307783530;М;25.11.2005;;
496973453;М;28.8.2004;;
547816757;М;13.5.2005;;
207750300;М;22.4.2002;;
277764246;М;22.9.2002;https://vk.com/id432189243;
367823553;М;22.5.2002;;
496963208;М;30.3.2004;;
527783687;М;26.4.2003;;
577790356;М;16.2.2006;;
537778368;М;5.6.2004;;
577786583;М;12.11.2004;;
277782687;М;1.10.2002;;
337817716;М;12.2.2005;;
387843766;М;26.2.2003;;
517820130;М;15.2.2004;;
557823228;М;3.5.2004;;
567807359;М;27.4.2005;;
577822499;М;2.10.2005;;
485034708;М;12.10.2002;;
537810037;М;27.9.2002;https://vk.com/id546570653;
567803183;М;27.10.2005;;
437826369;М;18.8.2003;;
447815302;М;12.6.2004;;
167759769;М;8.8.2002;;
557816815;М;24.3.2005;;
557816829;М;31.1.2005;;
387842162;М;30.5.2003;https://vk.com/id297059471;
517819178;М;9.1.2005;;
577821178;М;9.8.2005;;
547836666;М;27.5.2005;;
567805379;М;23.10.2003;;
567805762;М;28.5.2005;;
227802520;М;26.6.2002;;
507815682;М;8.1.2005;;
547839605;М;24.6.2004;;
277763257;М;25.8.2002;;
467454196;М;12.3.2004;;
477793838;М;10.12.2004;;
527782193;М;7.1.2004;https://vk.com/id401124330;
537781209;М;3.12.2004;;
547805772;М;4.12.2005;;
557790334;М;16.7.2005;;
567774685;М;5.12.2004;https://vk.com/id272475079;
577789206;М;13.3.2005;;
337835369;М;30.12.2004;https://vk.com/id460910351;
417836204;М;8.8.2005;;
307808067;М;14.2.2004;;
307808680;М;16.8.2002;;
507817607;М;20.9.2004;;
277801752;М;21.8.2002;;
407849397;М;4.4.2005;https://vk.com/id323406715;
447826472;М;23.3.2004;;
467492320;М;14.5.2004;;
537819581;М;26.3.2005;;
337842817;М;18.1.2005;;
267809084;М;26.9.2004;;
277809275;М;16.6.2004;https://vk.com/id382636000;
347830400;М;21.7.2003;;
467500752;М;13.8.2002;;
537827780;М;10.3.2005;;
557836497;М;1.2.2005;;
407852360;М;22.3.2004;https://vk.com/id190131370;
557831277;М;4.1.2005;;
567815135;М;20.9.2005;https://vk.com/id502233414;
577830062;М;7.5.2004;;
427842690;М;2.5.2005;;
467497882;М;4.6.2004;;
567817134;М;11.11.2002;;
447827870;М;1.1.2006;;
537820270;М;25.9.2005;;
517834886;М;14.3.2004;;
557837529;М;8.8.2002;https://vk.com/id549523184;
227810345;М;17.12.2002;https://vk.com/id322172141;
327847359;М;15.5.2002;;
347826876;М;4.7.2003;;
437841437;М;7.2.2005;;
457862359;М;25.3.2005;;
387872816;М;15.12.2004;;
485067799;М;11.6.2004;;
537843388;М;4.11.2004;https://vk.com/id395157680;
567836737;М;20.10.2005;;
217812225;М;1.7.2004;https://vk.com/id444342319;
227827607;М;5.8.2002;https://vk.com/id497816955;
237815775;М;12.6.2003;https://vk.com/id349896132;
307831079;М;15.7.2003;;
407870284;М;25.8.2004;;
547864176;М;20.8.2003;;
567833354;М;10.1.2005;;
577848824;М;10.1.2005;;
207812524;М;29.5.2003;;
227831829;М;30.5.2004;;
457883275;М;7.12.2002;;
547868618;М;29.8.2004;;
197814498;М;31.3.2004;;
197814869;М;6.9.2003;https://vk.com/id273260348;
427868055;М;6.5.2003;;
577858788;М;23.5.2002;;
227832655;М;24.11.2003;;
347848293;М;3.3.2005;;
367886896;М;25.5.2005;;
437863441;М;25.9.2005;;
277824853;М;29.10.2002;;
485066410;М;15.4.2002;;
547866858;М;23.1.2003;;
217811336;М;27.6.2003;;
477851219;М;13.7.2004;;
547863238;М;23.4.2004;;
557848582;М;6.12.2003;;
577847068;М;19.4.2004;https://vk.com/id343033563;
207806808;М;6.5.2004;;
297825727;М;10.1.2003;https://vk.com/id229961353;
457877341;М;3.3.2003;;
547862006;М;3.6.2005;;
567831330;М;29.1.2005;;
577846365;М;18.4.2003;;
227834138;М;26.5.2003;;
467520874;М;1.12.2003;;
477859728;М;31.5.2002;;
507848814;М;13.2.2004;https://vk.com/id376534608;
537848296;М;24.5.2005;;
317846767;М;16.6.2004;;
467533759;М;2.11.2004;;
477866700;М;20.3.2005;;
537853520;М;19.10.2004;;
197822566;М;11.8.2002;;
537858893;М;18.5.2004;;
357863259;М;13.7.2003;https://vk.com/id415740950;
387888393;М;19.5.2002;;
457898462;М;3.2.2003;;
537859101;М;9.10.2003;;
387883053;М;23.9.2002;;
547879352;М;18.9.2003;https://vk.com/id577906593;
407887528;М;6.5.2005;;
527858588;М;22.1.2005;;
517861542;М;14.8.2003;https://vk.com/id543607300;
187828630;М;24.11.2002;;
227843465;М;1.3.2006;;
537856787;М;18.11.2004;;
557865663;М;31.12.2003;https://vk.com/id540977754;
187824287;М;28.9.2002;https://vk.com/id518923470;
387881002;М;3.4.2002;https://vk.com/id390554461;
517858684;М;24.10.2004;https://vk.com/id520007301;
447856898;М;8.5.2002;;
557858763;М;12.8.2005;;
287872799;М;9.6.2002;;
377884273;М;18.6.2005;https://vk.com/id498430012;
567856533;М;1.1.2005;;
347867864;М;7.6.2003;;
477877608;М;19.4.2004;;
497045538;М;2.12.2004;;
527865740;М;15.2.2003;https://vk.com/id568738856;
176452090;М;14.10.2002;;
347871682;М;11.7.2002;https://vk.com/id272350041;
367910166;М;1.6.2005;;
557877282;М;6.1.2003;;
557877521;М;7.8.2005;;
577876108;М;22.11.2003;https://vk.com/id507117125;
437883358;М;5.5.2003;;
497046880;М;19.7.2004;;
537865522;М;10.3.2004;;
577873358;М;2.6.2005;;
407891736;М;30.3.2005;;
417880220;М;26.7.2002;;
447869167;М;29.5.2003;;
457900184;М;21.9.2004;;
537861472;М;26.3.2005;https://vk.com/id495502881;
337883513;М;16.5.2002;;
537866075;М;9.1.2003;;
547891307;М;24.1.2003;;
567859714;М;1.11.2005;;
297849601;М;11.11.2004;https://vk.com/id395308938;
527863287;М;29.12.2005;;
137839651;М;2.10.2002;;
517873317;М;25.5.2004;;
377862101;М;29.7.2002;;
397871038;М;29.12.2002;;
567834067;М;22.5.2003;https://vk.com/id534924526;
387866868;М;13.9.2002;;
477849145;М;3.3.2003;;
567830332;М;16.8.2004;;
577845857;М;1.1.2006;;
547853758;М;11.5.2005;;
247811583;М;11.2.2003;;
577840517;М;22.12.2005;;
327857647;М;8.1.2003;https://vk.com/id366360314;
437851570;М;22.9.2003;;
485057001;М;11.10.2004;;
407865322;М;30.7.2002;https://vk.com/id338492804;
527836054;М;15.12.2005;;
557844123;М;13.4.2005;;
567828158;М;12.9.2005;;
567828884;М;29.10.2002;;
277816534;М;8.9.2002;;
507834140;М;23.3.2004;;
537834553;М;31.12.2004;;
567827480;М;29.10.2005;;
577842021;М;17.6.2004;;
287838047;М;8.12.2002;https://vk.com/id294981220;
327854417;М;13.6.2005;;
567823077;М;20.9.2004;;
567823269;М;12.8.2003;;
137797514;М;7.6.2002;;
267808025;М;9.10.2002;;
467499133;М;15.7.2004;;
467499785;М;30.3.2004;;
517832761;М;15.9.2004;;
527827376;М;16.3.2005;;
527827729;М;30.3.2003;;
307827810;М;13.6.2003;;
507836214;М;25.5.2003;;
537836529;М;19.12.2003;;
557845052;М;15.8.2003;;
557845669;М;3.8.2004;;
577844382;М;7.11.2005;;
237806494;М;27.11.2003;;
507831015;М;25.12.2002;;
237849380;М;18.3.2002;;
327898074;М;24.12.2002;;
437892137;М;8.7.2003;https://vk.com/id312760093;
537874845;М;21.4.2005;https://vk.com/id553264613;
567867837;М;20.9.2005;;
38182087;М;23.10.2004;https://vk.com/id190181413;
447881023;М;10.8.2003;;
537873124;М;11.11.2003;;
537873521;М;8.6.2003;;
557882351;М;8.2.2005;;
197836218;М;14.6.2004;https://vk.com/id460799268;
457911814;М;18.12.2002;;
507872611;М;17.5.2002;;
537872783;М;2.6.2003;;
317855452;М;7.2.2003;;
567862465;М;23.10.2005;;
577877138;М;15.7.2005;;
307862293;М;11.6.2004;;
397901134;М;1.5.2004;;
457910805;М;17.2.2003;;
537871457;М;29.10.2004;;
287879078;М;7.7.2002;https://vk.com/id226229906;
377891676;М;23.7.2003;;
457909030;М;15.12.2003;;
517876043;М;3.8.2004;;
327899005;М;2.2.2003;https://vk.com/id388544878;
327899118;М;19.4.2004;;
367917866;М;6.9.2003;;
417894175;М;3.11.2003;https://vk.com/id325474488;
537875466;М;6.1.2005;;
537875486;М;19.4.2003;;
537875811;М;24.12.2002;;
557884527;М;4.3.2005;;
267858217;М;24.5.2002;;
377897220;М;7.3.2003;https://vk.com/id439085904;
417895133;М;10.4.2003;;
517882169;М;3.7.2004;;
537876687;М;24.10.2004;;
567869680;М;7.9.2004;;
176447896;М;12.7.2005;;
227833572;М;1.4.2002;https://vk.com/id328747858;
337863695;М;24.4.2005;https://vk.com/id553292301;
437864433;М;1.2.2003;;
467519294;М;13.3.2004;;
577854119;М;15.5.2003;;
297788092;М;5.12.2002;;
397831799;М;13.5.2003;;
467474080;М;16.7.2004;;
477813796;М;1.7.2004;https://vk.com/id293175755;
547825367;М;3.4.2005;;
347774195;М;26.9.2005;https://vk.com/id418219949;
377792694;М;4.2.2005;;
485030155;М;15.2.2004;;
485030500;М;26.4.2004;;
557815888;М;24.2.2003;;
156882099;М;14.5.2004;https://vk.com/id277789533;
357795605;М;15.3.2003;https://vk.com/id299902918;
417809611;М;13.6.2004;;
507791276;М;18.11.2004;https://vk.com/id427384832;
507791586;М;7.3.2004;https://vk.com/id478910039;
577799457;М;9.5.2005;;
127784575;М;7.4.2004;;
307757377;М;5.11.2004;;
427784802;М;7.11.2003;;
457805659;М;19.11.2003;;
537766351;М;13.11.2003;;
527787690;М;19.10.2005;;
557795310;М;13.8.2005;;
557795878;М;5.8.2005;;
577794021;М;5.8.2005;;
277793573;М;2.7.2002;;
457850885;М;3.9.2004;;
485040166;М;22.8.2004;;
577824441;М;15.6.2002;;
477833323;М;20.9.2002;https://vk.com/id308236702;
537821387;М;29.12.2003;;
547845847;М;23.9.2005;;
557830687;М;6.6.2005;;
297783689;М;16.5.2005;;
357800680;М;2.6.2003;;
537796208;М;11.3.2004;;
537796572;М;2.4.2005;;
557805412;М;15.5.2005;;
567789231;М;3.9.2005;;
448006399;М;11.10.2003;;
558007808;М;27.9.2004;;
227986658;М;1.7.2003;;
378020839;М;5.8.2004;https://vk.com/id405496400;
507999541;М;14.2.2004;;
537999459;М;8.6.2004;;
537999679;М;2.4.2005;;
297978156;М;21.7.2003;https://vk.com/id233044701;
447999353;М;21.7.2003;;
567984688;М;27.3.2005;;
467668275;М;9.7.2004;;
497176222;М;24.9.2003;;
558004250;М;4.11.2003;;
507993149;М;24.7.2004;;
537993722;М;18.9.2004;;
507996852;М;9.7.2005;;
567989876;М;19.11.2002;;
307985535;М;6.10.2005;;
338011600;М;15.5.2002;;
507994352;М;10.2.2004;;
507994561;М;30.6.2005;;
518000195;М;3.5.2004;;
518000386;М;25.12.2004;;
527995186;М;29.1.2005;;
548019031;М;11.7.2003;;
578002137;М;11.1.2006;;
207971792;М;19.11.2002;https://vk.com/id578380073;
438021001;М;29.9.2003;;
448011750;М;15.1.2004;;
497184723;М;4.8.2003;;
558012150;М;1.5.2003;;
567996486;М;2.2.2005;;
567996541;М;23.1.2006;;
187973421;М;2.5.2002;https://vk.com/id153183419;
257987812;М;15.5.2003;https://vk.com/id296094980;
317987192;М;10.5.2005;;
458040046;М;21.1.2004;https://vk.com/id544483956;
508001496;М;21.12.2004;;
558010225;М;14.2.2005;;
197964207;М;28.6.2002;https://vk.com/id518731233;
338017532;М;1.7.2002;;
